Plate,Measure,Row,Col_5,Col_6,Col_7,Blank,ID,Block,Sex,Diet,DOB,Regimen,Weight,Fat_Scores_Dorsal,Fat_Scores_Pelvic,days_since_1st_trt,days_since_2nd_trt,days_since_1st_D_or_A,days_since_1st_D_inj,vax_history,blank_avg,blank_sd,cutoff_new,age_lab,Env,grid,age_wild,repro,body_length_mm,ticks_total,fleas,mites,Testes,H_poly,Pinworms,Cestode,repro_bin,Col_5_bcen,Col_6_bcen,Col_7_bcen,Col_5_avg,Col_6_avg,Col_7_avg,OD_avg,OD,Fat_Scores_Sum,boost,ishigh,ismale,isrepro,isadult,islab,isvax,isHp,nHp
18,1,G,2.59,2.005,1.397,0.069,1,1,M,Low,20/01/2018,SC,21.5,,,35,14,35,35,DA,0.075375,0.00526274,0.091163219,135,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.514625,1.929625,1.321625,2.4205,1.9075,1.34,1.889333333,1.889333333,,0,0,1,0,1,1,1,0,0
9,1,D,2.498,2.189,1.762,0.079,2,1,M,Low,20/01/2018,ST,22.0,4.0,4,22,1,22,22,DD,0.076625,0.012129509,0.113013528,122,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.421375,2.112375,1.685375,2.358875,2.095375,1.671875,2.042041667,2.042041667,8.0,1,0,1,0,1,1,1,0,0
11,1,G,2.981,2.674,2.439,0.069,2,1,M,Low,20/01/2018,ST,22.5,,,35,14,35,35,DD,0.07225,0.010525479,0.103826438,135,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.90875,2.60175,2.36675,2.8465,2.646,2.4385,2.643666667,2.643666667,,1,0,1,0,1,1,1,0,0
27,1,G,0.888,0.537,0.355,0.107,2,1,M,Low,20/01/2018,ST,21.5,3.0,4,14,,14,14,D,0.10875,0.015809129,0.156177388,114,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,0.77925,0.42825,0.24625,0.798875,0.439375,0.253875,0.497375,0.497375,7.0,0,0,1,0,1,1,1,0,0
36,1,E,2.042,1.613,1.112,0.087,2,1,M,Low,20/01/2018,ST,21.5,3.0,4,17,,17,17,D,0.111875,0.026297406,0.190767219,117,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.930125,1.501125,1.000125,1.967875,1.524875,1.004875,1.499208333,1.499208333,7.0,0,0,1,0,1,1,1,0,0
4,1,C,1.362,0.912,0.538,0.061,3,1,M,Low,20/01/2018,PC,23.0,,,35,14,14,14,AD,0.0685,0.01011364,0.09884092,135,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.2935,0.8435,0.4695,1.2908125,0.8438125,0.4743125,0.869645833,0.869645833,,0,0,1,0,1,1,1,0,0
5,1,F,0.049,0.06,0.054,0.075,3,1,M,Low,20/01/2018,PC,22.0,3.0,4,17,,17,,A,0.0635,0.006824326,0.083972979,117,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,-0.0145,-0.0035,-0.0095,-0.006125,-0.006125,-0.007625,-0.006625,0.0,7.0,0,0,1,0,1,1,0,0,0
16,1,H,0.063,0.071,0.066,0.084,3,1,M,Low,20/01/2018,PC,22.0,3.0,4,14,,14,,A,0.0745,0.005042675,0.089628025,114,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,-0.0115,-0.0035,-0.0085,-0.004875,0.002625,-0.003875,-0.002041667,0.0,7.0,0,0,1,0,1,1,0,0,0
5,1,H,1.04,0.638,0.36,0.066,4,1,M,Low,18/02/2018,PC,25.0,,,35,14,14,14,AD,0.0635,0.006824326,0.083972979,106,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,0.9765,0.5745,0.2965,0.958375,0.561375,0.301375,0.607041667,0.607041667,,0,0,1,0,1,1,1,0,0
27,1,F,0.066,0.086,0.066,0.102,4,1,M,Low,18/02/2018,PC,23.5,3.0,4,14,,14,,A,0.10875,0.015809129,0.156177388,85,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,-0.04275,-0.02275,-0.04275,-0.030625,-0.023125,-0.031625,-0.028458333,0.0,7.0,0,0,1,0,1,1,0,0,0
1,1,F,1.593,1.051,0.662,0.067,5,1,M,Low,18/02/2018,ST,24.5,4.0,4,17,,17,17,D,0.070375,0.003925648,0.082151945,88,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.522625,0.980625,0.591625,1.4704375,0.9734375,0.5879375,1.010604167,1.010604167,8.0,0,0,1,0,1,1,1,0,0
18,1,C,2.148,1.603,1.03,0.076,5,1,M,Low,18/02/2018,ST,25.0,4.0,5,22,1,22,22,DD,0.075375,0.00526274,0.091163219,93,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.072625,1.527625,0.954625,2.0505,1.527,0.9415,1.506333333,1.506333333,9.0,1,0,1,0,1,1,1,0,0
27,1,H,2.567,2.239,1.726,0.094,5,1,M,Low,18/02/2018,ST,28.5,,,35,14,35,35,DD,0.10875,0.015809129,0.156177388,106,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.45825,2.13025,1.61725,2.488375,2.126875,1.638875,2.084708333,2.084708333,,1,0,1,0,1,1,1,0,0
32,1,D,1.093,0.712,0.429,0.108,5,1,M,Low,18/02/2018,ST,24.5,4.0,4,14,,14,14,D,0.11925,0.017685749,0.172307247,85,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,0.97375,0.59275,0.30975,0.979375,0.601375,0.315375,0.632041667,0.632041667,8.0,0,0,1,0,1,1,1,0,0
7,1,E,1.53,1.107,0.711,0.079,6,1,M,Low,07/03/2018,SC,23.5,4.0,4,14,,14,14,D,0.070125,0.006174545,0.088648634,68,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.459875,1.036875,0.640875,1.465125,1.033125,0.649125,1.049125,1.049125,8.0,0,0,1,0,1,1,1,0,0
10,1,G,1.756,1.178,0.611,0.066,6,1,M,Low,07/03/2018,SC,25.0,,,35,14,35,35,DA,0.07225,0.006341473,0.09127442,89,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.68375,1.10575,0.53875,1.70575,1.14625,0.54725,1.133083333,1.133083333,,0,0,1,0,1,1,1,0,0
19,1,D,1.56,1.077,0.661,0.118,6,1,M,Low,07/03/2018,SC,23.5,4.0,4,17,,17,17,D,0.120375,0.011500776,0.154877329,71,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.439625,0.956625,0.540625,1.4240625,0.9390625,0.5460625,0.969729167,0.969729167,8.0,0,0,1,0,1,1,1,0,0
30,1,F,1.824,1.266,0.808,0.089,6,1,M,Low,07/03/2018,SC,26.0,4.0,4,22,1,22,22,DA,0.090375,0.018376518,0.145504555,76,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.733625,1.175625,0.717625,1.7385,1.172,0.7235,1.211333333,1.211333333,8.0,0,0,1,0,1,1,1,0,0
8,1,C,1.727,1.245,0.947,0.059,7,1,M,Low,07/03/2018,SC,25.5,,,35,14,35,35,DA,0.06375,0.005650537,0.080701612,89,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.66325,1.18125,0.88325,1.61875,1.13975,0.86225,1.206916667,1.206916667,,0,0,1,0,1,1,1,0,0
15,1,E,1.909,1.347,0.94,0.182,7,1,M,Low,07/03/2018,SC,24.5,4.0,4,17,,17,17,D,0.1055,0.037496667,0.21799,71,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.8035,1.2415,0.8345,1.82675,1.25925,0.84875,1.311583333,1.311583333,8.0,0,0,1,0,1,1,1,0,0
33,1,G,0.857,0.514,0.323,0.08,7,1,M,Low,07/03/2018,SC,24.5,4.0,4,14,,14,14,D,0.10625,0.034656477,0.210219432,68,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,0.75075,0.40775,0.21675,0.76025,0.42575,0.23075,0.47225,0.47225,8.0,0,0,1,0,1,1,1,0,0
10,1,F,0.054,0.046,0.054,0.079,8,1,M,Low,20/01/2018,PC,24.0,3.0,3,17,,17,,A,0.07225,0.006341473,0.09127442,117,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,-0.01825,-0.02625,-0.01825,-0.01525,-0.02475,-0.01725,-0.019083333,0.0,6.0,0,0,1,0,1,1,0,0,0
17,1,F,0.071,0.119,0.074,0.062,8,1,M,Low,20/01/2018,PC,24.0,3.0,3,14,,14,,A,0.071125,0.00653425,0.090727751,114,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,-0.000125,0.047875,0.002875,-0.0096875,0.0128125,-0.0076875,-0.001520833,0.0,6.0,0,0,1,0,1,1,0,0,0
25,1,E,1.732,1.163,0.757,0.093,8,1,M,Low,20/01/2018,PC,23.0,,,35,14,14,14,AD,0.10875,0.014801062,0.153153185,135,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.62325,1.05425,0.64825,1.68725,1.11725,0.67275,1.159083333,1.159083333,,0,0,1,0,1,1,1,0,0
33,1,H,0.085,0.099,0.087,0.097,8,1,M,Low,20/01/2018,PC,23.0,3.0,4,22,1,1,1,AD,0.10625,0.034656477,0.210219432,122,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,-0.02125,-0.00725,-0.01925,-0.01575,-0.01925,-0.01075,-0.01525,0.0,7.0,0,0,1,0,1,1,1,0,0
1,1,C,1.9,1.456,0.992,0.066,9,1,M,Low,,ST,22.0,3.0,4,17,,17,17,D,0.070375,0.003925648,0.082151945,,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.829625,1.385625,0.921625,1.8179375,1.3634375,0.9029375,1.3614375,1.3614375,7.0,0,0,1,0,1,1,1,0,0
