E,H,V,D,R,S,M,F,T,P,nP
1.2863991073069116,2,1,2,2,1,21.5,,35,1,0
-0.43834729601962613,2,1,2,2,1,21.5,7.0,17,1,0
0.14425990563779328,2,1,2,2,1,23.0,,17,1,0
-0.25288359189226356,2,1,2,2,1,25.0,,14,1,0
0.334984077459887,2,1,2,2,1,24.5,8.0,17,1,0
0.38478016017286576,2,1,2,2,1,23.5,8.0,35,1,0
0.5794330402643525,2,1,2,2,1,25.5,,35,1,0
-1.4976666203496944,2,2,2,2,1,24.0,6.0,17,1,0
0.7570058703927154,2,1,2,2,1,22.0,7.0,17,1,0
0.6116583010232792,2,1,1,2,1,19.5,6.0,35,1,0
-1.4976666203496944,2,2,1,2,1,26.0,9.0,14,1,0
0.8332294048572214,2,1,1,2,1,21.5,6.0,17,1,0
-1.4976666203496944,2,2,1,2,1,31.5,9.0,17,1,0
-0.3054166694848111,2,1,1,2,1,21.5,7.0,14,1,0
1.1819738950556609,2,1,1,2,1,28.5,,35,1,0
-0.1999144443585965,2,1,1,2,1,21.5,7.0,35,1,0
-1.017262556743142,2,1,1,2,1,30.0,9.5,14,1,0
0.04738089487931053,2,1,1,2,1,24.0,,17,1,0
0.21274106865077408,2,1,2,2,2,18.5,6.0,35,1,0
1.584078013987075,2,1,2,2,2,17.0,6.0,17,1,0
0.5995925064547437,2,1,2,2,2,20.0,,14,1,0
-1.4976666203496944,2,2,2,2,2,21.0,7.0,17,1,0
0.3927978019100897,2,1,2,2,2,17.5,7.0,14,1,0
1.884747885399787,2,1,2,2,2,16.5,,35,1,0
-1.4976666203496944,2,2,1,2,2,15.5,5.0,17,1,0
0.7761726758258035,2,1,1,2,2,27.0,7.0,35,1,0
0.19341410625987285,2,1,1,2,2,17.5,,17,1,0
1.0155213466251949,2,1,1,2,2,24.5,8.0,35,1,0
-0.6847433249647054,2,1,1,2,2,19.5,7.0,17,1,0
1.8695668202150717,2,1,1,2,2,17.0,,35,1,0
0.8317898798383624,2,1,1,2,2,16.5,6.0,17,1,0
0.654203344672596,2,1,1,2,2,18.5,,14,1,0
