Plate,Row,sex,pittag,suppl,previous.trt,trt.overall,jandate,body.mass.g,days.since.1st.trt,days.since.2nd.trt,titre.avg
1,A,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
1,B,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
1,C,F,841092547,Supplemented,A,A,227,21,9,NA,0
1,D,M,835339845,Supplemented,DA,DA,218,23.5,33,13,9.803454296
1,E,F,835338101,Supplemented,DD,DD,248,25,63,44,12.23036534
1,F,M,835346074,Supplemented,AD,AD,213,27.5,21,2,2.649158683
1,G,F,840289049,Not supplemented,A,A,241,13,9,NA,0
1,H,M,836840260,Not supplemented,D,DA,211,18.5,19,0,12.23036534
2,A,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
2,B,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
2,C,F,841093014,Supplemented,DD,DD,213,23,29,9,12.23036534
2,D,M,841079632,Supplemented,D,DD,232,17,27,0,12.23036534
2,E,M,836859050,Supplemented,DA,DA,218,26,28,7,11.19064509
2,F,F,836841279,Not supplemented,AD,AD,218,21,33,14,12.23036534
2,G,F,835339783,Supplemented,A,AD,190,21,6,NA,0
2,H,F,841108291,Not supplemented,DD,DD,225,20,40,21,12.23036534
3,A,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
3,B,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
3,C,M,835339845,Supplemented,DA,DA,206,24.5,21,1,11.19064509
3,D,M,836859050,Supplemented,DA,DA,232,27,42,21,10.49724209
3,E,F,835315094,Not supplemented,D,DD,227,14.5,16,NA,12.23036534
3,F,M,841104851,Not supplemented,DA,DA,239,18,26,7,12.23036534
3,G,M,836844519,Supplemented,AD,AD,247,23,36,15,9.803454296
3,H,M,841079632,Supplemented,D,DD,218,18.5,13,NA,12.23036534
4,A,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
4,B,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
4,C,F,841108291,Not supplemented,D,DD,204,21.5,19,0,12.23036534
4,D,M,841090031,Not supplemented,D,DD,211,13,6,NA,7.377758908
4,E,F,835338025,Supplemented,D,D,211,26,6,NA,2.649158683
4,F,M,835319552,Not supplemented,AD,AD,218,21,27,7,6.684611728
4,G,M,841090031,Not supplemented,DD,DD,232,14,27,7,12.23036534
4,H,M,836841827,Not supplemented,AD,AD,218,25,34,7,7.723533138
5,A,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
5,B,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
5,C,F,835315094,Not supplemented,D,DD,225,15,14,NA,10.84279109
5,D,F,841108291,Not supplemented,D,DD,190,21.5,5,NA,5.298317367
5,E,M,840285293,Supplemented,D,D,247,16,13,NA,11.53619409
5,F,M,840280097,Not supplemented,A,AD,227,15.5,14,NA,0
5,G,F,841076790,Not supplemented,DA,DA,247,23,64,43,9.457520501
6,A,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
6,B,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
6,C,F,841074265,Not supplemented,DA,DA,234,14.5,30,9,12.23036534
6,D,F,841074265,Not supplemented,DA,DA,239,16,35,14,12.23036534
6,E,F,841076790,Not supplemented,D,DA,191,21,8,NA,11.19064509
6,F,F,840121589,Not supplemented,D,D,232,12.5,13,NA,12.23036534
6,G,M,836613123,Supplemented,DD,DD,247,20,36,8,12.23036534
6,H,M,841090031,Not supplemented,D,DD,218,13.5,13,NA,12.23036534
7,A,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
7,B,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
7,C,M,836859050,Supplemented,D,DA,211,25.5,21,0,11.53619409
7,D,M,840301005,Not supplemented,A,A,241,20,7,NA,0
7,E,M,841264332,Supplemented,DA,DA,241,22,30,9,11.19064509
7,F,F,835338101,Supplemented,DD,DD,239,27,54,35,12.23036534
7,G,F,841076790,Not supplemented,DA,DA,212,23,29,8,10.84509609
7,H,M,835340593,Supplemented,D,DD,211,19,19,0,12.23036534
8,A,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
8,B,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
8,C,F,835339783,Not supplemented,A,AD,232,22,48,0,5.298317367
8,E,M,835319552,Not supplemented,A,AD,204,18.5,13,NA,0
8,G,M,835318081,Supplemented,D,D,198,15.5,6,NA,7.723533138
8,H,M,836840260,Not supplemented,D,DA,204,17,12,NA,11.53773072
9,A,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
9,B,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
9,F,F,835339783,Supplemented,A,AD,213,22,29,NA,0
9,G,F,836841279,Not supplemented,AD,AD,205,21,20,1,0
10,A,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
10,B,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
10,C,M,835340593,Not supplemented,D,DD,206,19,14,NA,10.84509609
10,D,M,841089838,Supplemented,D,D,218,28,7,NA,7.377758908
10,E,M,841264332,Supplemented,DA,DA,247,23.5,36,15,10.84509609
10,F,F,835339783,Not supplemented,AD,AD,234,25,50,2,2.649158683
10,G,M,835346074,Supplemented,AD,AD,218,25.5,26,7,8.765654551
