"","Plate","Measure","Row","Col_5","Col_6","Col_7","Blank","ID","Block","Sex","Diet","Treatment","Weight","Fat_Scores_Dorsal","Fat_Scores_Pelvic","days_since_1st_trt","days_since_2nd_trt","trt_history","blank_avg","blank_sd","cutoff_new","Env","grid","body_length_mm","Col_5_bcen","Col_6_bcen","Col_7_bcen","Col_5_avg","Col_6_avg","Col_7_avg","OD_avg","days_since_1st_D_inj"
"1",1,1,"A",1.65,1.093,0.691,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.070375,0.0039256482631171,0.0821519447893513,"Lab",NA,NA,1.579625,1.022625,0.620625,1.5539375,1.0069375,0.6149375,1.05860416666667,NA
"2",1,1,"B",1.6,1.095,0.707,0.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.070375,0.0039256482631171,0.0821519447893513,"Lab",NA,NA,1.529625,1.024625,0.636625,1.5324375,1.0209375,0.6309375,1.0614375,NA
"3",1,1,"C",1.9,1.456,0.992,0.066,9,1,"M","Low","ST",22,3,4,17,NA,"D",0.070375,0.0039256482631171,0.0821519447893513,"Lab",NA,NA,1.829625,1.385625,0.921625,1.8179375,1.3634375,0.9029375,1.3614375,17
"4",1,1,"D",0.752,0.459,0.275,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.070375,0.0039256482631171,0.0821519447893513,"Lab",NA,NA,0.681625,0.388625,0.204625,0.6829375,0.3794375,0.2049375,0.4224375,NA
"5",1,1,"E",1.465,1.041,0.677,0.07,57,2,"F","Low","SC",16.5,3,4,14,NA,"D",0.070375,0.0039256482631171,0.0821519447893513,"Lab",NA,NA,1.394625,0.970625,0.606625,1.3809375,0.9644375,0.5944375,0.9799375,14
"6",1,1,"F",1.593,1.051,0.662,0.067,5,1,"M","Low","ST",24.5,4,4,17,NA,"D",0.070375,0.0039256482631171,0.0821519447893513,"Lab",NA,NA,1.522625,0.980625,0.591625,1.4704375,0.9734375,0.5879375,1.01060416666667,17
"7",1,1,"G",1.657,1.143,0.72,0.073,71,2,"F","High","PC",21.5,NA,NA,35,14,"AD",0.070375,0.0039256482631171,0.0821519447893513,"Lab",NA,NA,1.586625,1.072625,0.649625,1.5544375,1.0674375,0.6489375,1.09027083333333,14
"8",1,1,"H",0.079,0.07,0.066,0.071,69,2,"F","High","PC",23.5,3,4,22,1,"AD",0.070375,0.0039256482631171,0.0821519447893513,"Lab",NA,NA,0.00862500000000001,-0.000374999999999986,-0.00437499999999999,0.0124375,0.00293750000000001,-0.00106249999999999,0.00477083333333334,1
"9",2,1,"A",1.637,1.139,0.746,0.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.069,0.00730948503169488,0.0909284550950846,"Lab",NA,NA,1.568,1.07,0.677,1.582125,1.070125,0.675625,1.10929166666667,NA
"10",2,1,"B",1.713,1.161,0.718,0.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.069,0.00730948503169488,0.0909284550950846,"Lab",NA,NA,1.644,1.092,0.649,1.628625,1.102625,0.655125,1.12879166666667,NA
"11",2,1,"C",2.522,2.22,1.816,0.084,44,2,"M","Low","ST",22.5,3,4,22,1,"DD",0.069,0.00730948503169488,0.0909284550950846,"Lab",NA,NA,2.453,2.151,1.747,2.446125,2.116125,1.753125,2.105125,22
"12",2,1,"D",2.494,2.269,1.923,0.066,59,2,"F","Low","ST",16.5,3,3,17,NA,"D",0.069,0.00730948503169488,0.0909284550950846,"Lab",NA,NA,2.425,2.2,1.854,2.445125,2.177125,1.840125,2.154125,17
"13",2,1,"E",0.053,0.058,0.053,0.064,42,2,"M","Low","PC",22,3,4,17,NA,"A",0.069,0.00730948503169488,0.0909284550950846,"Lab",NA,NA,-0.016,-0.011,-0.016,-0.013375,-0.009375,-0.012375,-0.0117083333333333,NA
"14",2,1,"F",0.055,0.059,0.051,0.067,37,2,"M","Low","PC",26,NA,NA,22,1,"AD",0.069,0.00730948503169488,0.0909284550950846,"Lab",NA,NA,-0.014,-0.01,-0.018,-0.011875,-0.00687500000000001,-0.015375,-0.011375,1
"15",2,1,"G",0.104,0.076,0.067,0.063,25,1,"F","Low","PC",21,3,4,17,NA,"A",0.069,0.00730948503169488,0.0909284550950846,"Lab",NA,NA,0.035,0.00699999999999999,-0.002,0.036125,0.00862499999999999,0.003125,0.0159583333333333,NA
"16",2,1,"H",2.69,2.401,2.033,0.068,58,2,"F","Low","SC",17.5,NA,NA,35,14,"DA",0.069,0.00730948503169488,0.0909284550950846,"Lab",NA,NA,2.621,2.332,1.964,2.623625,2.332125,1.980125,2.31195833333333,35
"17",3,1,"A",1.614,1.05,0.637,0.074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.085875,0.0356868823439169,0.192935647031751,"Lab",NA,NA,1.528125,0.964125,0.551125,1.5074375,0.9459375,0.5529375,1.00210416666667,NA
"18",3,1,"B",1.708,0.962,0.754,0.173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.085875,0.0356868823439169,0.192935647031751,"Lab",NA,NA,1.622125,0.876125,0.668125,1.5804375,0.8749375,0.6654375,1.04027083333333,NA
"19",3,1,"C",3.01,2.82,2.469,0.075,34,1,"F","High","SC",17,NA,NA,35,14,"DA",0.085875,0.0356868823439169,0.192935647031751,"Lab",NA,NA,2.924125,2.734125,2.383125,2.8254375,2.6719375,2.3279375,2.6084375,35
"20",3,1,"D",2.11,1.846,0.885,0.064,61,2,"F","Low","SC",17.5,3,4,22,1,"DA",0.085875,0.0356868823439169,0.192935647031751,"Lab",NA,NA,2.024125,1.760125,0.799125,1.9964375,1.7309375,0.7889375,1.5054375,22
"21",3,1,"E",1.579,1.041,0.615,0.07,41,2,"M","Low","ST",25.5,4,4,14,NA,"D",0.085875,0.0356868823439169,0.192935647031751,"Lab",NA,NA,1.493125,0.955125,0.529125,1.4749375,0.9539375,0.5309375,0.986604166666667,14
"22",3,1,"F",1.064,0.662,0.378,0.077,72,2,"F","High","SC",25.5,4,5,14,NA,"D",0.085875,0.0356868823439169,0.192935647031751,"Lab",NA,NA,0.978125,0.576125,0.292125,0.9709375,0.5724375,0.2934375,0.612270833333333,14
"23",3,1,"G",1.783,1.365,0.814,0.07,21,1,"F","Low","PC",20,NA,NA,35,14,"AD",0.085875,0.0356868823439169,0.192935647031751,"Lab",NA,NA,1.697125,1.279125,0.728125,1.6879375,1.2554375,0.7284375,1.2239375,14
"24",3,1,"H",2.215,1.716,1.167,0.084,32,1,"F","High","SC",24.5,4,4,22,1,"DA",0.085875,0.0356868823439169,0.192935647031751,"Lab",NA,NA,2.129125,1.630125,1.081125,2.1059375,1.6349375,1.0769375,1.6059375,22
"25",4,1,"A",1.676,1.131,0.668,0.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0685,0.0101136400116731,0.0988409200350192,"Lab",NA,NA,1.6075,1.0625,0.5995,1.5813125,1.0408125,0.6078125,1.07664583333333,NA
"26",4,1,"B",1.938,1.337,0.815,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0685,0.0101136400116731,0.0988409200350192,"Lab",NA,NA,1.8695,1.2685,0.7465,1.8158125,1.2463125,0.7513125,1.27114583333333,NA
"27",4,1,"C",1.362,0.912,0.538,0.061,3,1,"M","Low","PC",23,NA,NA,35,14,"AD",0.0685,0.0101136400116731,0.0988409200350192,"Lab",NA,NA,1.2935,0.8435,0.4695,1.2908125,0.8438125,0.4743125,0.869645833333333,14
