ID,Block,Sex,Diet,Regimen,Weight,Fat_Scores_Dorsal,Fat_Scores_Pelvic,days_since_1st_trt,days_since_2nd_trt,days_since_1st_D_or_A,days_since_1st_D_inj,vax_history,blank_avg,blank_sd,cutoff_new,age_lab,Env,age_wild,repro,body_length_mm,ticks_total,fleas,mites,Testes,H_poly,Pinworms,Cestode,repro_bin,Col_5_bcen,Col_6_bcen,Col_7_bcen,Col_5_avg,Col_6_avg,Col_7_avg,OD_avg,OD,Fat_Scores_Sum,boost,ishigh,ismale,isrepro,isadult,islab,isvax,isHp,nHp
SUBJ-0001,1.0,M,Low,SC,21.5,,,35.0,14.0,35.0,35.0,DA,0.075375,0.00526274,0.091163219,135.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.514625,1.929625,1.321625,2.4205,1.9075,1.34,1.889333333,1.889333333,,0,0.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0002,1.0,M,Low,ST,22.0,4.0,4.0,22.0,1.0,22.0,22.0,DD,0.076625,0.012129509,0.113013528,122.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.421375,2.112375,1.685375,2.358875,2.095375,1.671875,2.042041667,2.042041667,8.0,1,0.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0002,1.0,M,Low,ST,22.5,,,35.0,14.0,35.0,35.0,DD,0.07225,0.010525479,0.103826438,135.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.90875,2.60175,2.36675,2.8465,2.646,2.4385,2.643666667,2.643666667,,1,0.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0002,1.0,M,Low,ST,21.5,3.0,4.0,14.0,,14.0,14.0,D,0.10875,0.015809129,0.156177388,114.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,0.77925,0.42825,0.24625,0.798875,0.439375,0.253875,0.497375,0.497375,7.0,0,0.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0002,1.0,M,Low,ST,21.5,3.0,4.0,17.0,,17.0,17.0,D,0.111875,0.026297406,0.190767219,117.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.930125,1.501125,1.000125,1.967875,1.524875,1.004875,1.499208333,1.499208333,7.0,0,0.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0003,1.0,M,Low,PC,23.0,,,35.0,14.0,14.0,14.0,AD,0.0685,0.01011364,0.09884092,135.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.2935,0.8435,0.4695,1.2908125,0.8438125,0.4743125,0.869645833,0.869645833,,0,0.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0003,1.0,M,Low,PC,22.0,3.0,4.0,17.0,,17.0,,A,0.0635,0.006824326,0.083972979,117.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,-0.0145,-0.0035,-0.0095,-0.006125,-0.006125,-0.007625,-0.006625,0.0,7.0,0,0.0,1.0,0.0,1.0,1.0,0.0,0,0
SUBJ-0003,1.0,M,Low,PC,22.0,3.0,4.0,14.0,,14.0,,A,0.0745,0.005042675,0.089628025,114.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,-0.0115,-0.0035,-0.0085,-0.004875,0.002625,-0.003875,-0.002041667,0.0,7.0,0,0.0,1.0,0.0,1.0,1.0,0.0,0,0
SUBJ-0004,1.0,M,Low,PC,25.0,,,35.0,14.0,14.0,14.0,AD,0.0635,0.006824326,0.083972979,106.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,0.9765,0.5745,0.2965,0.958375,0.561375,0.301375,0.607041667,0.607041667,,0,0.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0004,1.0,M,Low,PC,23.5,3.0,4.0,14.0,,14.0,,A,0.10875,0.015809129,0.156177388,85.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,-0.04275,-0.02275,-0.04275,-0.030625,-0.023125,-0.031625,-0.028458333,0.0,7.0,0,0.0,1.0,0.0,1.0,1.0,0.0,0,0
