"","X","Plate","Measure","Row","Col.5","Col.6","Col.7","Blank","Date","ID","Block","Sex","Diet","DOB","Treatment","Weight","Fat.Scores.Dorsal","Fat.Scores.Pelvic","days.since.1st.trt","days.since.2nd.trt","trt.history","1st.trt","2nd.trt","blank.avg","blank.sd","cutoff.new","age.lab","Env","grid","age.wild","repro","body.length.mm","ticks.total","fleas","mites","Testes","H.poly","Pinworms","Cestode","repro.bin","Col.5.bcen","Col.6.bcen","Col.7.bcen","Col.5.avg","Col.6.avg","Col.7.avg","OD.avg","days.since.1st.D.inj","Plate.Env","trt.history2"
"1",1,1,1,"A",1.65,1.093,0.691,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.070375,0.0039256482631171,0.0821519447893513,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.579625,1.022625,0.620625,1.5539375,1.0069375,0.6149375,1.05860416666667,NA,"1Lab",NA
"2",2,1,1,"B",1.6,1.095,0.707,0.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.070375,0.0039256482631171,0.0821519447893513,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.529625,1.024625,0.636625,1.5324375,1.0209375,0.6309375,1.0614375,NA,"1Lab",NA
"3",3,1,1,"C",1.9,1.456,0.992,0.066,"2018-05-17",9,1,"M","Low",NA,"ST",22,3,4,17,NA,"D","D","",0.070375,0.0039256482631171,0.0821519447893513,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.829625,1.385625,0.921625,1.8179375,1.3634375,0.9029375,1.3614375,17,"1Lab","D"
"4",4,1,1,"D",0.752,0.459,0.275,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.070375,0.0039256482631171,0.0821519447893513,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.681625,0.388625,0.204625,0.6829375,0.3794375,0.2049375,0.4224375,NA,"1Lab",NA
"5",5,1,1,"E",1.465,1.041,0.677,0.07,"2018-05-16",57,2,"F","Low","2018-02-24","SC",16.5,3,4,14,NA,"D","D","",0.070375,0.0039256482631171,0.0821519447893513,81,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.394625,0.970625,0.606625,1.3809375,0.9644375,0.5944375,0.9799375,14,"1Lab","D"
"6",6,1,1,"F",1.593,1.051,0.662,0.067,"2018-05-17",5,1,"M","Low","2018-02-18","ST",24.5,4,4,17,NA,"D","D","",0.070375,0.0039256482631171,0.0821519447893513,88,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.522625,0.980625,0.591625,1.4704375,0.9734375,0.5879375,1.01060416666667,17,"1Lab","D"
"7",7,1,1,"G",1.657,1.143,0.72,0.073,"2018-06-06",71,2,"F","High","2018-02-18","PC",21.5,NA,NA,35,14,"AD","A","D",0.070375,0.0039256482631171,0.0821519447893513,108,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.586625,1.072625,0.649625,1.5544375,1.0674375,0.6489375,1.09027083333333,14,"1Lab","AD"
"8",8,1,1,"H",0.079,0.07,0.066,0.071,"2018-05-24",69,2,"F","High","2018-02-18","PC",23.5,3,4,22,1,"AD","A","D",0.070375,0.0039256482631171,0.0821519447893513,95,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00862500000000001,-0.000374999999999986,-0.00437499999999999,0.0124375,0.00293750000000001,-0.00106249999999999,0.00477083333333334,1,"1Lab","A"
"9",9,2,1,"A",1.637,1.139,0.746,0.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.069,0.00730948503169488,0.0909284550950846,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.568,1.07,0.677,1.582125,1.070125,0.675625,1.10929166666667,NA,"2Lab",NA
"10",10,2,1,"B",1.713,1.161,0.718,0.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.069,0.00730948503169488,0.0909284550950846,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.644,1.092,0.649,1.628625,1.102625,0.655125,1.12879166666667,NA,"2Lab",NA
