lines,OP,fit,days_since_1st_D_inj
0.233645833,O,1,29
0,O,2,14
0.196616072,O,3,33
0.394083334,O,4,15
0,O,5,1
0,O,6,6
0,O,7,1
0.5891875,O,8,13
0.905,O,9,14
1.182916667,O,10,17
0.229020833,O,11,8
1.08175,O,12,20
1.189666667,O,13,17
0.380666667,O,14,21
0,O,15,6
1.159083333,O,16,14
1.429708333,O,17,14
0,O,18,7
0.406979167,O,19,14
1.977895833,O,20,22
2.6213125,O,21,35
0,O,22,2
1.12,P,1,29
0.855,P,2,14
0.775,P,3,33
0.735,P,4,15
0.31,P,5,1
0.18,P,6,6
0.05,P,7,1
0.635,P,8,13
0.915,P,9,14
1.095,P,10,17
0.13,P,11,8
0.895,P,12,20
0.96,P,13,17
0.145,P,14,21
-0.425,P,15,6
0.7,P,16,14
0.945,P,17,14
-0.585,P,18,7
-0.28,P,19,14
1.18,P,20,22
1.77,P,21,35
-0.895,P,22,2
