ID,days_since_1st_D_inj,Env,Weight,Diet,Sex,isvax,OD,OD_predict,diff,abs_diff,no_time,no_Env,no_Weight,no_Diet,no_Sex
68,14,Lab,19.5,High,F,1,0,1.565806968,-1.565806968,1.565806968,0.865806968,0.845806968,2.150806968,1.805806968,1.565806968
31,1,Lab,16,High,F,1,0,1.020806968,-1.020806968,1.020806968,0.970806968,0.300806968,1.500806968,1.260806968,1.020806968
841076790,29,Wild,23,Low,F,1,0.233645833,1.730806968,-1.497161135,1.497161135,0.280806968,1.730806968,2.420806968,1.730806968,1.730806968
31,14,Lab,17.5,High,F,1,0.905,1.625806968,-0.720806968,0.720806968,0.925806968,0.905806968,2.150806968,1.865806968,1.625806968
8,1,Lab,23,Low,M,1,0,0.760806968,-0.760806968,0.760806968,0.710806968,0.040806968,1.450806968,0.760806968,1.050806968
35,17,Lab,16.5,High,F,1,1.182916667,1.805806968,-0.622890301,0.622890301,0.955806968,1.085806968,2.300806968,2.045806968,1.805806968
68,17,Lab,21,High,F,1,1.189666667,1.670806968,-0.481140301,0.481140301,0.820806968,0.950806968,2.300806968,1.910806968,1.670806968
840121589,15,Wild,12.5,Low,F,1,0.394083334,1.345806968,-0.951723634,0.951723634,0.595806968,1.345806968,1.720806968,1.345806968,1.345806968
840121589,6,Wild,16,Low,F,1,0,0.790806968,-0.790806968,0.790806968,0.490806968,0.790806968,1.270806968,0.790806968,0.790806968
35,14,Lab,16.5,High,F,1,1.429708333,1.655806968,-0.226098635,0.226098635,0.955806968,0.935806968,2.150806968,1.895806968,1.655806968
8,14,Lab,23,Low,M,1,1.159083333,1.410806968,-0.251723635,0.251723635,0.710806968,0.690806968,2.100806968,1.410806968,1.700806968
835339845,33,Wild,23.5,High,M,1,0.196616072,1.385806968,-1.189190896,1.189190896,-0.264193032,1.385806968,2.090806968,1.625806968,1.675806968
840121589,13,Wild,12.5,Low,F,1,0.5891875,1.245806968,-0.656619468,0.656619468,0.595806968,1.245806968,1.620806968,1.245806968,1.245806968
841076790,8,Wild,21,Low,F,1,0.229020833,0.740806968,-0.511786135,0.511786135,0.340806968,0.740806968,1.370806968,0.740806968,0.740806968
841098806,20,Wild,15.5,Low,F,1,1.08175,1.505806968,-0.424056968,0.424056968,0.505806968,1.505806968,1.970806968,1.505806968,1.505806968
68,22,Lab,22,High,F,1,1.977895833,1.890806968,0.087088865,0.087088865,0.790806968,1.170806968,2.550806968,2.130806968,1.890806968
68,35,Lab,24,High,F,1,2.6213125,2.480806968,0.140505532,0.140505532,0.730806968,1.760806968,3.200806968,2.720806968,2.480806968
835339845,21,Wild,24.5,High,M,1,0.380666667,0.755806968,-0.375140301,0.375140301,-0.294193032,0.755806968,1.490806968,0.995806968,1.045806968
841084077,6,Wild,18.5,High,M,1,0,0.185806968,-0.185806968,0.185806968,-0.114193032,0.185806968,0.740806968,0.425806968,0.475806968
835346074,7,Wild,25.5,High,M,1,0,0.025806968,-0.025806968,0.025806968,-0.324193032,0.025806968,0.790806968,0.265806968,0.315806968
835346074,14,Wild,27,High,M,1,0.406979167,0.330806968,0.076172199,0.076172199,-0.369193032,0.330806968,1.140806968,0.570806968,0.620806968
835346074,2,Wild,27.5,High,M,1,0,-0.284193032,0.284193032,0.284193032,-0.384193032,-0.284193032,0.540806968,-0.044193032,0.005806968
