ID,days_since_1st_D_inj,Env,Weight,Diet,Sex,isvax,OD,OD_predict,diff,abs_diff,no_time,no_Env,no_Weight,no_Diet,no_Sex
68,14,Lab,19.5,High,F,1,0,1.335,-1.335,1.335,0.635,0.615,1.92,1.575,1.335
31,1,Lab,16,High,F,1,0,0.79,-0.79,0.79,0.74,0.07,1.27,1.03,0.79
841076790,29,Wild,23,Low,F,1,0.233645833,1.5,-1.266354167,1.266354167,0.05,1.5,2.19,1.5,1.5
31,14,Lab,17.5,High,F,1,0.905,1.395,-0.49,0.49,0.695,0.675,1.92,1.635,1.395
8,1,Lab,23,Low,M,1,0,0.53,-0.53,0.53,0.48,-0.19,1.22,0.53,0.82
35,17,Lab,16.5,High,F,1,1.182916667,1.575,-0.392083333,0.392083333,0.725,0.855,2.07,1.815,1.575
68,17,Lab,21,High,F,1,1.189666667,1.44,-0.250333333,0.250333333,0.59,0.72,2.07,1.68,1.44
840121589,15,Wild,12.5,Low,F,1,0.394083334,1.115,-0.720916666,0.720916666,0.365,1.115,1.49,1.115,1.115
840121589,6,Wild,16,Low,F,1,0,0.56,-0.56,0.56,0.26,0.56,1.04,0.56,0.56
35,14,Lab,16.5,High,F,1,1.429708333,1.425,0.004708333,0.004708333,0.725,0.705,1.92,1.665,1.425
8,14,Lab,23,Low,M,1,1.159083333,1.18,-0.020916667,0.020916667,0.48,0.46,1.87,1.18,1.47
835339845,33,Wild,23.5,High,M,1,0.196616072,1.155,-0.958383928,0.958383928,-0.495,1.155,1.86,1.395,1.445
840121589,13,Wild,12.5,Low,F,1,0.5891875,1.015,-0.4258125,0.4258125,0.365,1.015,1.39,1.015,1.015
841076790,8,Wild,21,Low,F,1,0.229020833,0.51,-0.280979167,0.280979167,0.11,0.51,1.14,0.51,0.51
841098806,20,Wild,15.5,Low,F,1,1.08175,1.275,-0.19325,0.19325,0.275,1.275,1.74,1.275,1.275
68,22,Lab,22,High,F,1,1.977895833,1.66,0.317895833,0.317895833,0.56,0.94,2.32,1.9,1.66
68,35,Lab,24,High,F,1,2.6213125,2.25,0.3713125,0.3713125,0.5,1.53,2.97,2.49,2.25
835339845,21,Wild,24.5,High,M,1,0.380666667,0.525,-0.144333333,0.144333333,-0.525,0.525,1.26,0.765,0.815
841084077,6,Wild,18.5,High,M,1,0,-0.045,0.045,0.045,-0.345,-0.045,0.51,0.195,0.245
835346074,7,Wild,25.5,High,M,1,0,-0.205,0.205,0.205,-0.555,-0.205,0.56,0.035,0.085
835346074,14,Wild,27,High,M,1,0.406979167,0.1,0.306979167,0.306979167,-0.6,0.1,0.91,0.34,0.39
835346074,2,Wild,27.5,High,M,1,0,-0.515,0.515,0.515,-0.615,-0.515,0.31,-0.275,-0.225
