Plate,Measure,Row,Col_5,Col_6,Col_7,Blank,ID,Block,Sex,Diet,Treatment,Weight,Fat_Scores_Dorsal,Fat_Scores_Pelvic,days_since_1st_trt,days_since_2nd_trt,trt_history,blank_avg,blank_sd,cutoff_new,Env,grid,body_length_mm,Col_5_bcen,Col_6_bcen,Col_7_bcen,Col_5_avg,Col_6_avg,Col_7_avg,OD_avg,days_since_1st_D_inj,Boost
1,1,D,0.403,0.246,0.143,0.067,835339845,,M,High,DA,23.5,2.0,2,33,13,DA,0.070625,0.014585417,0.11438125,Wild,1,93,0.332375,0.175375,0.072375,0.339116072,0.172616072,0.078116072,0.196616072,33,No
1,1,E,2.026,1.489,0.929,0.066,835338101,,F,High,DD,25.0,2.0,3,63,44,DD,0.070625,0.014585417,0.11438125,Wild,2,90,1.955375,1.418375,0.858375,1.990116072,1.411616072,0.847116072,1.416282738,63,Yes
1,1,F,0.057,0.053,0.05,0.055,835346074,,M,High,AD,27.5,3.0,4,21,2,AD,0.070625,0.014585417,0.11438125,Wild,1,92,-0.013625,-0.017625,-0.020625,-0.008383929,-0.013883929,-0.015383929,-0.012550595,2,No
1,1,H,2.036,0.625,1.48,0.063,836840260,,M,Low,DA,18.5,2.0,2,19,0,D,0.070625,0.014585417,0.11438125,Wild,3,90,1.965375,0.554375,1.409375,1.926616072,0.555616072,1.413116072,1.298449405,19,No
2,1,C,2.29,1.593,1.027,0.055,841093014,,F,High,DD,23.0,3.0,3,29,9,DD,0.060875,0.005710462,0.078006386,Wild,2,92,2.229125,1.532125,0.966125,2.1980625,1.5060625,0.9390625,1.547729167,29,Yes
2,1,D,1.752,1.038,0.672,0.07,841079632,,M,High,DD,17.0,3.0,3,27,0,D,0.060875,0.005710462,0.078006386,Wild,2,71,1.691125,0.977125,0.611125,1.6470625,0.9860625,0.5925625,1.075229167,27,No
2,1,E,0.594,0.351,0.199,0.058,836859050,,M,High,DA,26.0,2.0,2,28,7,DA,0.060875,0.005710462,0.078006386,Wild,2,95,0.533125,0.290125,0.138125,0.5510625,0.2885625,0.1405625,0.326729167,28,No
2,1,F,2.312,1.522,1.03,0.06,836841279,,F,Low,AD,21.0,2.0,3,33,14,AD,0.060875,0.005710462,0.078006386,Wild,3,90,2.251125,1.461125,0.969125,2.2085625,1.4940625,0.9365625,1.546395833,14,No
2,1,H,2.45,2.054,1.643,0.057,841108291,,F,Low,DD,20.0,3.0,3,40,21,DD,0.060875,0.005710462,0.078006386,Wild,4,74,2.389125,1.993125,1.582125,2.3670625,1.9860625,1.5440625,1.965729167,40,Yes
3,1,C,0.713,0.396,0.232,0.06,835339845,,M,High,DA,24.5,2.0,2,21,1,DA,0.059625,0.004090767,0.071897301,Wild,1,85,0.653375,0.336375,0.172375,0.635,0.338,0.169,0.380666667,21,No
